"credit.policy","purpose","int.rate","installment","log.annual.inc","dti","fico","days.with.cr.line","revol.bal","revol.util","inq.last.6mths","delinq.2yrs","pub.rec","default","tot.payment","principal","interest"
1,"debt_consolidation",0.1189,829.1,11.35040654,19.48,737,5639.958333,28854,52.1,0,0,0,0,29847.6,20892.7965022524,8954.80349774758
1,"credit_card",0.1071,228.22,11.08214255,14.29,707,2760,33623,76.7,0,0,0,0,8215.92,5958.23165863009,2257.68834136991
1,"debt_consolidation",0.1357,366.86,10.37349118,11.63,682,4710,3511,25.6,1,0,0,0,13206.96,8790.25712587924,4416.70287412076
1,"debt_consolidation",0.1008,162.34,11.35040654,8.1,712,2699.958333,33667,73.2,1,0,0,0,5844.24,4319.1410903365,1525.0989096635
1,"credit_card",0.1426,102.92,11.29973224,14.97,667,4066,4740,39.5,0,1,0,0,3705.12,2415.52256540493,1289.59743459507
1,"credit_card",0.0788,125.13,11.90496755,16.98,727,6120.041667,50807,51,0,0,0,0,4504.68,3556.28640714791,948.393592852092
1,"debt_consolidation",0.1496,194.02,10.71441777,4,667,3180.041667,3839,76.8,0,0,1,1,6984.72,4459.00169603346,2525.71830396654
1,"all_other",0.1114,131.22,11.00209984,11.08,722,5116,24220,68.6,0,0,0,1,4723.92,3381.90433442927,1342.01566557073
1,"home_improvement",0.1134,87.19,11.40756495,17.25,682,3989,69909,51.1,1,0,0,0,3138.84,2233.68637794789,905.153622052106
1,"debt_consolidation",0.1221,84.12,10.20359214,10,707,2730.041667,5630,23,1,0,0,0,3028.32,2099.51845293587,928.801547064132
1,"debt_consolidation",0.1347,360.43,10.4341158,22.09,677,6713.041667,13846,71,2,0,1,0,12975.48,8662.13668566187,4313.34331433813
1,"debt_consolidation",0.1324,253.58,11.83500896,9.16,662,4298,5122,18.2,2,1,0,0,9128.88,6136.42923133442,2992.45076866558
1,"debt_consolidation",0.0859,316.11,10.93310697,15.49,767,6519.958333,6068,16.7,0,0,0,0,11379.96,8794.74086410302,2585.21913589698
1,"small_business",0.0714,92.82,11.51292546,6.5,747,4384,3021,4.8,0,1,0,0,3341.52,2697.2312753177,644.288724682295
1,"debt_consolidation",0.0863,209.54,9.487972109,9.73,727,1559.958333,6282,44.6,0,0,0,0,7543.44,5822.78291412726,1720.65708587274
1,"major_purchase",0.1103,327.53,10.73891524,13.04,702,8159.958333,5394,53.4,1,0,0,0,11791.08,8469.26148837483,3321.81851162517
1,"all_other",0.1317,77.69,10.52277288,2.26,672,3895.958333,2211,88.4,0,0,0,0,2796.84,1883.98687286527,912.853127134732
1,"credit_card",0.0894,476.58,11.60823564,7.07,797,6510.958333,7586,52.7,1,0,0,0,17156.88,13120.8065876969,4036.07341230306
1,"debt_consolidation",0.1039,584.12,10.49127422,3.8,712,2760,8311,59.8,0,0,0,0,21028.32,15396.9602049415,5631.35979505846
1,"major_purchase",0.1513,173.65,11.00209984,2.74,667,1126.958333,591,84.4,3,0,0,0,6251.4,3970.5532340849,2280.8467659151
1,"all_other",0.08,188.02,11.22524339,16.08,772,4888.958333,29797,23.2,1,0,0,0,6768.72,5324.4637357584,1444.2562642416
1,"all_other",0.0863,474.42,10.81977828,2.59,797,11951,5656,27.6,0,0,0,0,17079.12,13183.3763010416,3895.7436989584
1,"credit_card",0.1355,339.6,11.51292546,7.94,662,1939.958333,21162,57.7,0,0,0,0,12225.6,8141.96958016377,4083.63041983623
1,"credit_card",0.0788,484.85,11.73606902,7.05,782,5640.041667,16931,34.6,1,0,0,0,17454.6,13779.7927316044,3674.80726839556
1,"debt_consolidation",0.1229,320.19,11.26446411,8.8,672,3760.958333,4822,58.1,0,0,1,0,11526.84,7972.34142190211,3554.49857809789
1,"all_other",0.0901,159.03,12.4292162,10,712,1553.958333,14354,36.6,0,2,0,0,5725.08,4369.09774948413,1355.98225051587
1,"all_other",0.0743,155.38,11.08214255,0.28,802,4649.958333,1576,5.7,1,0,0,0,5593.68,4476.03401122366,1117.64598877634
1,"debt_consolidation",0.1375,255.43,9.998797732,14.29,662,1318.958333,4175,51.5,0,1,0,0,9195.48,6087.34520030663,3108.13479969337
1,"all_other",0.0743,155.38,12.20607265,0.28,772,4516.958333,3164,13.7,0,0,0,0,5593.68,4476.03401122366,1117.64598877634
1,"all_other",0.0743,155.38,12.20607265,3.72,812,6778.958333,85607,0.7,0,0,0,0,5593.68,4476.03401122366,1117.64598877634
1,"debt_consolidation",0.0807,156.84,11.51292546,2.3,742,3148.958333,9698,19.4,0,0,0,0,5646.24,4432.17235254339,1214.06764745661
1,"credit_card",0.1028,275.38,9.798127037,6.4,692,7469.958333,8847,26.9,1,1,0,0,9913.68,7282.80158650373,2630.87841349628
1,"home_improvement",0.0743,155.38,11.91839057,0,777,7128.958333,6053,19.5,0,0,0,0,5593.68,4476.03401122366,1117.64598877634
1,"home_improvement",0.0807,78.42,11.60823564,11.33,762,6059.958333,7274,13.1,0,0,0,0,2823.12,2216.08617627169,607.033823728307
1,"credit_card",0.087,158.3,11.22524339,15.55,757,4770,66033,23,0,0,0,0,5698.8,4389.67690470241,1309.12309529759
1,"all_other",0.0743,155.38,11.46163217,3.83,772,2535,3660,6.8,0,0,0,0,5593.68,4476.03401122366,1117.64598877634
1,"credit_card",0.0743,155.38,11.35040654,0.31,787,3540,216,0.6,0,0,0,0,5593.68,4476.03401122366,1117.64598877634
1,"credit_card",0.1122,164.23,11.28978191,1.21,672,3990,27185,16.1,3,0,1,0,5912.28,4222.51762527379,1689.76237472621
1,"debt_consolidation",0.0996,161.25,10.77895629,8.03,707,4320,28329,48.6,1,0,0,0,5805,4305.61340834538,1499.38659165462
1,"home_improvement",0.0933,159.77,12.10071213,11.93,717,4498.958333,60568,39.2,1,0,0,0,5751.72,4347.49118878787,1404.22881121213
1,"home_improvement",0.0807,156.84,12.10071213,5.55,742,4019,40934,26.3,0,0,0,0,5646.24,4432.17235254339,1214.06764745661
1,"debt_consolidation",0.0743,155.38,11.69524702,2.29,777,3540,8379,16.9,0,0,0,0,5593.68,4476.03401122366,1117.64598877634
1,"small_business",0.087,94.98,10.1266311,14.54,752,2460,3660,7.8,1,0,0,0,3419.28,2633.80614282145,785.473857178552
1,"home_improvement",0.1028,97.2,12.20607265,0,677,3779.958333,0,0,0,1,0,0,3499.2,2570.58724020685,928.612759793151
1,"credit_card",0.1122,164.23,10.30895266,18.64,702,5190,15840,47.1,0,0,0,0,5912.28,4222.51762527379,1689.76237472621
1,"credit_card",0.0838,167.02,11.21182037,14.37,797,5610.958333,6844,14.4,0,0,0,0,6012.72,4676.15983584297,1336.56016415703
1,"educational",0.0775,168.6,8.987196821,3,762,6659.958333,1321,16.5,0,0,0,0,6069.6,4810.4599586352,1259.1400413648
1,"all_other",0.0838,160.72,10.37349118,14.78,772,4379,4737,23.9,0,0,0,0,5785.92,4499.77493004839,1286.14506995161
1,"credit_card",0.0901,159.03,11.19821472,9.96,722,3089.958333,23489,37.6,0,0,0,0,5725.08,4369.09774948413,1355.98225051587
1,"debt_consolidation",0.0743,178.69,11.73606902,0.27,792,7488.958333,2817,10.2,0,0,0,0,6432.84,5147.52553395261,1285.31446604739
1,"credit_card",0.0743,155.38,10.71441777,1.12,782,5807,1783,0,1,0,0,0,5593.68,4476.03401122366,1117.64598877634
1,"small_business",0.1028,323.98,10.217422,10.7,712,1379,3534,54.4,0,0,0,0,11663.28,8568.09520660715,3095.18479339285
1,"small_business",0.1059,813.65,10.77895629,4.05,762,2729.958333,2422,23.3,0,0,0,0,29291.4,21318.8990270209,7972.50097297914
1,"educational",0.0996,112.87,9.510444964,16.44,712,1649.958333,2864,41.1,1,0,0,0,4063.32,3013.79587844926,1049.52412155074
1,"debt_consolidation",0.1596,94.88,10.86283777,12.57,627,1409,3075,92.3,1,0,0,0,3415.68,2116.10385736772,1299.57614263228
1,"small_business",0.1059,398.69,11.00209984,17.12,747,14008.95833,17214,8.1,2,1,0,0,14352.84,10446.2998255797,3906.54017442027
1,"credit_card",0.1154,39.6,9.903487553,2.04,662,1139,1153,75.8,2,0,0,0,1425.6,1008.42809582996,417.171904170044
1,"credit_card",0.1343,678.08,11.88448902,10.15,682,4209.958333,41674,74.1,0,0,0,1,24410.88,16315.7179493546,8095.16205064542
1,"credit_card",0.1249,401.37,11.22524339,15,682,4479,43039,93.4,3,0,0,0,14449.32,9933.84242757003,4515.47757242997
1,"all_other",0.0964,205.45,11.00209984,7.72,712,2293.958333,3362,69.3,0,0,0,0,7396.2,5538.736215574,1857.463784426
1,"debt_consolidation",0.1186,397.75,11.08214255,7.14,682,8730,11868,71.9,0,2,0,0,14319,10032.0736632531,4286.92633674687
1,"all_other",0.0743,155.38,10.59663473,2.55,772,8189.958333,2562,14,2,0,0,0,5593.68,4476.03401122366,1117.64598877634
1,"all_other",0.1028,113.39,9.903487553,1.5,682,1410,1882,32.4,0,0,0,0,4082.04,2998.75398320015,1083.28601679985
1,"debt_consolidation",0.1186,99.44,10.49551521,7.47,667,2550,1064,70.9,2,0,1,0,3579.84,2508.08147095887,1071.75852904113
1,"credit_card",0.0807,109.79,11.49272276,8.52,752,4979.958333,6432,6,0,1,0,0,3952.44,3102.57716517303,849.862834826968
1,"all_other",0.1059,32.55,10.43382164,14.47,687,1110,4485,36.9,1,0,0,1,1171.8,852.860767319522,318.939232680478
1,"all_other",0.0996,112.87,11.26446411,11.06,702,4979.958333,16310,20.5,0,1,0,0,4063.32,3013.79587844926,1049.52412155074
1,"debt_consolidation",0.0964,160.51,11.77528973,8.55,712,5940,20969,40.2,0,0,0,0,5778.36,4327.1966413326,1451.1633586674
1,"debt_consolidation",0.1375,340.57,10.46310334,17.38,707,2699.958333,22213,65.9,0,0,0,0,12260.52,8116.3808278919,4144.1391721081
1,"home_improvement",0.0775,156.11,12.32385568,6.48,752,5339.958333,2160,2.3,1,0,0,0,5619.96,4454.09788933892,1165.86211066108
1,"credit_card",0.0743,155.38,11.15625052,4.56,812,9809,813,1,0,0,0,0,5593.68,4476.03401122366,1117.64598877634
1,"home_improvement",0.0807,235.25,11.91839057,2.72,757,5202,23678,24.4,4,0,0,0,8469,6647.97593685177,1821.02406314823
1,"debt_consolidation",0.0996,257.99,10.77895629,15.13,722,2640,11289,47.8,3,0,0,0,9287.64,6888.71443856759,2398.92556143241
1,"small_business",0.1501,225.37,12.26904744,6.45,677,6240,56411,75.3,0,0,0,1,8113.32,5171.72948351981,2941.59051648019
1,"home_improvement",0.0964,80.26,11.22524339,20,772,4920.958333,269,3.8,3,0,0,1,2889.36,2163.73311590153,725.626884098471
